id,name,stars,stars_raw,scale,year,quarter,price,rooms,ppr,ppr_src,rent,rent_room,yield,deal,comune,sigla,provincia,regione,lat,lon,geo_conf,geo_src,url_place,doc,note,maps
0,Boscolo Aleph Hotel,4,4,Upper Upscale,2014,,40500000.0,95,426316,426000,,,,Sale,Roma,RM,Roma,Lazio,41.905461,12.48979,high,Google place pin (multiple pins in URL),"Aleph Rome Hotel, Curio Collection by Hilton",,,"https://www.google.com/maps/place/41%C2%B054'19.7%22N+12%C2%B029'23.2%22E/@41.905461,12.488693,18z/data=!3m1!4b1!4m17!1m10!3m9!1s0x132587e3322b2161:0xb52ec9bf84a9627d!2sAleph+Rome+Hotel,+Curio+Collection+by+Hilton!5m3!1s2020-05-22!4m1!1i2!8m2!3d41.9053137!4d12.4900421!3m5!1s0x0:0x0!7e2!8m2!3d41.9054614!4d12.48979"
1,Grand Milan,4,4,Upper Upscale,2017,,19100000.0,248,77016,77000,1400000.0,6000.0,0.07329842931937172,Portfolio,Saronno,VA,Varese,Lombardia,45.622634,9.028381,high,Google place pin,Starhotels Grand Milan,Atto,,"https://www.google.com/maps/place/Starhotels+Grand+Milan/@45.6226343,9.0261923,17z/data=!3m1!4b1!4m9!3m8!1s0x4786915f92ddeb79:0x19ec110e7c463e97!5m3!1s2020-05-22!4m1!1i2!8m2!3d45.6226343!4d9.028381"
2,Hotel Le Capannelle,4,4,,2018,,28000000.0,250,112000,112000,,,,Sale,Roma,RM,Roma,Lazio,41.835297,12.555139,high,Google place pin,Hotel Capannelle,,,"https://www.google.com/maps/place/Hotel+Capannelle/@41.8358739,12.5492454,14.96z/data=!4m9!3m8!1s0x132589bdb334e5b7:0xe55a4ee270916342!5m3!1s2020-05-22!4m1!1i2!8m2!3d41.8352966!4d12.5551395"
3,Hotel Midas,4,4,,2019,Q1,32000000.0,342,93567,94000,,,,Sale,Roma,RM,Roma,Lazio,41.888281,12.402553,high,Google place pin,Hotel Midas Roma,internal file,,"https://www.google.com/maps/place/Hotel+Midas+Roma/@41.8882848,12.4003644,17z/data=!3m1!4b1!4m9!3m8!1s0x132f5f9aba5f8347:0xb1c5444f103218ef!5m3!1s2020-05-22!4m1!1i2!8m2!3d41.8882808!4d12.4025531"
4,Terme di Saturnia Spa and Golf Resort,5,5,,2017,,40331223.0,140,288080,288000,,,,Sale,Manciano,GR,Grosseto,Toscana,42.658641,11.516804,high,Google place pin,Terme di Saturnia SPA & Golf Resort,,,"https://www.google.com/maps/place/Terme+di+Saturnia+SPA+%26+Golf+Resort/@42.6574218,11.5131368,15.75z/data=!4m9!3m8!1s0x1328fd541cb72481:0x6c0c6b00a8659e72!5m3!1s2020-05-22!4m1!1i2!8m2!3d42.6586414!4d11.5168044"
5,Costa Paradiso Resort Soglia Village,,,,2018,,9200000.0,138,66667,67000,,,,Sale,Trinità d'Agultu e Vignola,SS,Sassari,Sardegna,41.056665,8.953658,high,Google place pin,Costa Paradiso Resort,,,"https://www.google.com/maps/place/Costa+Paradiso+Resort/@41.0566687,8.9514698,17z/data=!3m1!4b1!4m9!3m8!1s0x12dbf1a6f2133509:0xf10f51de4a402659!5m3!1s2020-05-22!4m1!1i2!8m2!3d41.0566647!4d8.9536585"
6,Hotel Club Esse Roccaruja,4,4,,2017,,14666666.0,135,108642,109000,,,,Sale,Stintino,SS,Sassari,Sardegna,40.961681,8.210986,high,Google place pin,Club Esse Roccaruja,,,"https://www.google.com/maps/place/Club+Esse+Roccaruja/@40.9616846,8.2087974,17z/data=!3m1!4b1!4m9!3m8!1s0x12dc9c244d7ceec9:0xa86feca186ad8b53!5m3!1s2020-05-22!4m1!1i2!8m2!3d40.9616806!4d8.2109861"
7,Calaserena Village,4,4,,2017,,27000000.0,369,73171,73000,1994086.0,5000.0,0.07385503703703704,Sale,Maracalagonis,CA,Cagliari,Sardegna,39.168592,9.384689,high,Google place pin,Calaserena Village - Villaggio Turistico Bluserena,Atto,,"https://www.google.com/maps/place/Calaserena+Village+-+Villaggio+Turistico+Bluserena/@39.1685962,9.3824999,17z/data=!3m1!4b1!4m9!3m8!1s0x12e0c5936fbe7fab:0xb1dbe95eb4975f41!5m3!1s2020-05-22!4m1!1i2!8m2!3d39.1685921!4d9.3846886"
8,Pollina Resort,4,4,,2016,,9000000.0,340,26471,26000,,,,Sale,Pollina,PA,Palermo,Sicilia,38.024948,14.148472,high,Google place pin,Pollina Resort,,,"https://www.google.com/maps/place/Pollina+Resort/@38.0249522,14.1462833,17z/data=!3m1!4b1!4m9!3m8!1s0x13172460699a9775:0x771e3fca181b3da3!5m3!1s2020-05-22!4m1!1i2!8m2!3d38.024948!4d14.148472"
9,VOI Arenella Resort,4,4,,2016,,22000000.0,460,47826,48000,,,,Sale,Siracusa,SR,Siracusa,Sicilia,36.987749,15.250659,high,Google place pin,VOI Arenella Resort,,,"https://www.google.com/maps/place/VOI+Arenella+Resort/@36.9877537,15.2484701,17z/data=!3m1!4b1!4m9!3m8!1s0x1313cd3324e01635:0xbdd07d68736d0c8c!5m3!1s2020-05-22!4m1!1i2!8m2!3d36.9877494!4d15.2506588"
